Division,Line,Station_Name,Route_1,Route_2,Route_3,Route_4,Route_5,Route_6,Route_7,Route_8,Route_9,Route_10,Route_11,ADA,ADA_Notes,Free_Crossover,Entrance_Type,Entry,Exit_Only,Entrance_Staffing,North_South_Street,East_West_Street,Corner,Latitude,Longitude
BMT,Jamaica,104 St,J,Z,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,104th St,Jamaica Av,SE,40.69515,-73.8432605
BMT,Jamaica,111 St,J,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,111th St,Jamaica Blvd,SE,40.696912999999995,-73.837099
BMT,Jamaica,121 St,J,Z,,,,,,,,,,FALSE,,TRUE,Stair,YES,,NONE,123rd St,Jamaica Av,NW,40.700531,-73.82828549999999
BMT,Jamaica,75 St-Elderts Ln,J,Z,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,75th St,Jamaica,NW,40.691382000000004,-73.8665175
BMT,Jamaica,85 St-Forest Pkwy,J,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,85th St,Jamaica Av,NE,40.6925235,-73.8590365
BMT,Jamaica,Alabama Av,J,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,Alabama Av,Fulton St,SE,40.676778999999996,-73.89967200000001
BMT,Jamaica,Chauncey St,J,Z,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,Moffat St,Broadway,NW,40.683364999999995,-73.911288
BMT,Jamaica,Cleveland St,J,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,Cleveland St,Fulton St,NW,40.679593,-73.88572350000001
BMT,Jamaica,Crescent St,J,Z,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,Pine St,Fulton St,NE,40.683533,-73.872574
BMT,Jamaica,Cypress Hills,J,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,Crescent St,Jamaica Av,NE,40.689806000000004,-73.8725925
BMT,Jamaica,Flushing Av,J,M,,,,,,,,,,TRUE,,TRUE,Stair,YES,,FULL,Flushing Av,Broadway,SE,40.700738,-73.9419415
BMT,Jamaica,Gates Av,J,Z,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,Linden St,Broadway,SW,40.690086,-73.9231115
BMT,Jamaica,Halsey St,J,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,Weirfield St,Broadway,SE,40.6858965,-73.91576
BMT,Jamaica,Hewes St,J,M,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,Hooper St,Broadway,SW,40.7071825,-73.954348
BMT,Jamaica,Kosciusko St,J,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,Patchen Av,Broadway,NE,40.6929295,-73.9280985
BMT,Jamaica,Lorimer St,J,M,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,Moore St,Broadway,SW,40.7038585,-73.94743
BMT,Jamaica,Marcy Av,J,M,Z,,,,,,,,,TRUE,,FALSE,Stair,YES,,NONE,Marcy Av,Broadway,SW,40.7085295,-73.958308
BMT,Jamaica,Myrtle Av,J,M,Z,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,Broadway,Myrtle Av,SW,40.69694,-73.93551
BMT,Jamaica,Norwood Av,J,Z,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,Norwood Av,Fulton St,NE,40.6817,-73.8789955
BMT,Jamaica,Van Siclen Av,J,Z,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,Van Siclen Av,Fulton St,SW,40.6778555,-73.8916385
BMT,Jamaica,Woodhaven Blvd,J,Z,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,Woodhaven Blvd,Jamaica Av,NW,40.693764,-73.851542
BMT,Myrtle Avenue,Central Av,M,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,Myrtle Av,Cedar St,SW,40.6979545,-73.926448
BMT,Myrtle Avenue,Forest Av,M,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,Forest Av,Myrtle Av,SW,40.704586,-73.902316
BMT,Myrtle Avenue,Fresh Pond Rd,M,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,Fresh Pond Rd,67th Av,SE,40.706035,-73.8958955
BMT,Myrtle Avenue,Knickerbocker Av,M,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,Myrtle Av,Greene Av,SE,40.698814999999996,-73.918713
BMT,Myrtle Avenue,Middle Village-Metropolitan Av,M,,,,,,,,,,,TRUE,,TRUE,Door,YES,,FULL,69th St,Metropolitan Av,SW,40.712082,-73.88954
BMT,Myrtle Avenue,Seneca Av,M,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,Myrtle Av,Seneca Av,SW,40.7028075,-73.9077045
BMT,Nassau Loop,Bowery,J,Z,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,Bowery,Delancey St,SE,40.720134,-73.9934935
BMT,Nassau Loop,Broad St,J,Z,,,,,,,,,,FALSE,,TRUE,Easement,YES,,PART,Nassau St,Cedar St,SE,40.706887,-74.010684
